Scientific_name,AMR_name
Acinetobacter baumannii ,Acinetobacter_baumannii
Bordetella pertussis ,Bordetella_pertussis
Burkholderia cepacia ,Burkholderia_cepacia
Burkholderia mallei ,Burkholderia_mallei
Burkholderia pseudomallei ,Burkholderia_pseudomallei
Campylobacter ,Campylobacter
Citrobacter freundii ,Citrobacter_freundii
Clostridioides difficile ,Clostridioides_difficile
Corynebacterium diphtheriae ,Corynebacterium_diphtheriae
Enterobacter asburiae ,Enterobacter_asburiae
Enterobacter cloacae ,Enterobacter_cloacae
Enterococcus faecalis ,Enterococcus_faecalis
Enterococcus faecium ,Enterococcus_faecium
Escherichia ,Escherichia
Haemophilus influenzae ,Haemophilus_influenzae
Helicobacter pylori ,Helicobacter_pylori
Klebsiella oxytoca ,Klebsiella_oxytoca
Klebsiella pneumoniae ,Klebsiella_pneumoniae
Neisseria gonorrhoeae ,Neisseria_gonorrhoeae
Neisseria meningitidis ,Neisseria_meningitidis
Pseudomonas aeruginosa ,Pseudomonas_aeruginosa
Salmonella ,Salmonella
Serratia marcescens ,Serratia_marcescens
Staphylococcus aureus ,Staphylococcus_aureus
Staphylococcus pseudintermedius ,Staphylococcus_pseudintermedius
Streptococcus agalactiae ,Streptococcus_agalactiae
Streptococcus pneumoniae ,Streptococcus_pneumoniae
Streptococcus pyogenes ,Streptococcus_pyogenes
Vibrio cholerae ,Vibrio_cholerae
Vibrio parahaemolyticus ,Vibrio_parahaemolyticus
Vibrio vulnificus ,Vibrio_vulnificus
